temperatureHigh,humidity,pressure,windSpeed,visibility
57.52,0.52,1012.57,1.09,8.22
36.69,0.83,1009.16,2.7,5.3
34.13,0.9,1005.5,2.19,3.87
46.27,0.61,1015.01,4.82,7.75
46.27,0.61,1015.01,4.82,7.75
48.22,0.45,1020.61,4.4,7.82
49.67,0.49,1022.06,1.72,8
45.56,0.61,1027.09,2.22,8.07
48.71,0.64,1037.69,2.94,8.81
44.79,0.73,1032.24,1.19,8.05
55.95,0.84,1018.45,0.78,7.11
76.59,0.75,1013.32,0.95,5.22
73.02,0.64,1010.43,2.89,7.79
60.43,0.48,1024.24,0.92,7.78
63.92,0.5,1017.56,1.02,7.74
47.67,0.75,1018.63,1.74,7.77
51.36,0.81,1017.37,1.39,7.81
68.82,0.63,1006.42,4.03,7.16
53.44,0.41,1021.03,3.48,8.11
70.95,0.47,1013.06,2.81,7.79
44.32,0.48,1012.2,2.64,7.74
49.81,0.41,1014.94,3.28,7.83
43.67,0.57,1022.11,0.65,7.59
53.47,0.6,1022.49,2.28,6.65
58.11,0.5,1021.75,0.97,7.77
77.2,0.48,1016.3,3.16,7.73
85.51,0.38,1013.79,4.02,7.67
84.78,0.49,1013.68,3.67,7.71
58.9,0.82,1015.12,3.47,5.91
56.37,0.78,1002.21,2.43,6.53
46.24,0.52,1009.44,4.09,7.85
62.32,0.53,1011.28,0.9,8.08
57.15,0.62,1010.32,3.25,7.73
59.46,0.44,1025.32,3.2,7.85
61.85,0.47,1030.22,0.24,8.46
66.75,0.55,1028.78,1.37,7.57
68.73,0.52,1029.52,1.81,7.9
62.87,0.68,1022.82,2.52,6.68
63.48,0.9,1008.24,1.09,5.09
70.77,0.53,1010.49,2.29,8
63.26,0.78,1008.46,0.56,6.7
76.76,0.67,1008.97,0.38,6.52
54.94,0.52,1018.67,4.3,7.87
71.17,0.39,1021.1,2.63,8.28
82.23,0.35,1020.78,1.03,8.27
91.73,0.44,1017.75,1.77,7.52
90.94,0.56,1014.38,1.46,7.84
71.31,0.55,1018.85,0.82,8.22
68.44,0.77,1014.03,0.93,7.82
75.28,0.67,1017.66,0.82,7.65
76.39,0.62,1022.55,0.85,7.96
78.43,0.6,1020.58,0.64,7.76
82.14,0.71,1013.83,1.3,7.42
81.95,0.63,1015.89,0.65,7.46
89.74,0.67,1016.36,0.39,7.61
67.81,0.9,1017.84,0.86,6.12
79.98,0.87,1015.98,0.29,5.52
89.13,0.78,1013.43,1.72,7.52
72.29,0.92,1015.83,0.59,6.59
67.44,0.94,1015.9,0.85,5.07
66.75,0.94,1020.28,2.4,5.58
69.56,0.94,1020.62,1.07,5.32
86.63,0.75,1016.74,3.96,7.52
79.97,0.67,1020.9,2.65,7.47
77.75,0.83,1018.28,2.49,6.68
79.62,0.7,1015.88,4.06,6.93
83.6,0.53,1020.93,1,7.43
85.31,0.65,1016.88,4.57,7.36
87.15,0.72,1011.53,3.85,7.52
84.75,0.82,1013.38,1.34,7.44
69.53,0.9,1017.72,2.1,5.74
78.97,0.85,1016.85,4.22,6.1
82.81,0.89,1013.98,3.62,5.28
86.6,0.77,1009.51,1.4,6.65
81.39,0.84,1008.02,1.92,6.92
71.29,0.92,1010.51,6.31,5.35
78.17,0.73,1009.94,3.97,7.37
79.63,0.58,1008.44,4.83,7.17
72.78,0.63,1011.07,4.29,7.51
78.15,0.66,1018.49,1.57,7.45
82.85,0.73,1021.12,1.51,7.07
83.17,0.81,1018.58,0.86,6.34
78.9,0.86,1014.9,3.07,6.37
64.67,0.88,1016.57,4.62,6.76
75.74,0.74,1022.1,3.65,7.08
83.33,0.78,1014.47,5.13,7.46
84.4,0.49,1012.98,5.76,7.63
82.17,0.47,1015.55,3.54,7.25
85.45,0.57,1017.61,1.42,6.79
87.66,0.63,1018.05,1.35,7.44
91.54,0.69,1015.98,2.96,6.6
91.19,0.74,1010.95,2.53,6.84
82.99,0.7,1010.83,0.28,7.06
81.25,0.8,1008.55,1.76,7.18
78.19,0.86,1011.96,4.96,6.92
80.29,0.87,1010.2,0.9,5.27
87.08,0.77,1011.35,1.78,6.43
82.07,0.67,1017.37,3.19,6.99
80.5,0.61,1022.28,2.78,7.1
80.33,0.78,1016.05,4.67,7.57
86.09,0.71,1010.69,2.53,7.53
89.51,0.61,1016.1,1.92,7.17
91.3,0.63,1018.37,1.89,7.33
92.49,0.66,1017.9,2.31,6.89
95.18,0.69,1017.77,2.64,6.54
90.98,0.7,1024.42,2.4,6.94
89.73,0.72,1024.4,3.19,7.12
85.5,0.73,1019.65,2.02,7.59
79.69,0.5,1025.31,5.22,7.41
81.96,0.56,1027,2.63,6.96
86.64,0.55,1023.16,1.64,7.24
92.84,0.54,1015.74,2.6,7.35
89.78,0.52,1014.39,3.06,7.41
87.79,0.52,1020.51,2.62,7.02
86.29,0.63,1023.18,2.8,7.02
88.5,0.55,1020.89,3.6,6.9
84.92,0.66,1016.97,2.58,7.23
93.15,0.72,1015.2,1.91,6.34
89.27,0.77,1011.32,2.12,6.81
85.67,0.56,1013.92,4.78,7.39
86.27,0.55,1018.28,1.38,7.24
84.08,0.62,1018.89,3.5,7.3
73,0.86,1012.2,4.74,5.14
83.78,0.87,1009.29,0.72,7.12
83.78,0.87,1009.29,0.72,7.12
83.22,0.86,1014.14,5.8,6.96
81.9,0.88,1016.94,5.37,6.9
81.62,0.87,1013.57,3.57,7.04
88.56,0.76,1013.1,1.89,6.74
88.77,0.77,1014.96,1.44,6.3
85.99,0.66,1016.56,3.35,7.22
84.22,0.64,1019.58,0.41,7.23
75.48,0.83,1019.47,3.2,6.81
82.92,0.84,1018.62,2.72,6.97
86.87,0.79,1017.08,5.35,7.15
83.28,0.86,1019.32,2.42,6.78
82.45,0.86,1020.34,4.72,7.08
87.39,0.77,1020.27,2.44,7
90.64,0.74,1021.41,1.42,6.54
89.75,0.74,1019.37,1.41,6.9
89.85,0.79,1015.69,1.47,6.73
90.96,0.73,1013,1.74,6.58
89.27,0.67,1011.74,3.74,7.4
89.63,0.67,1012.83,1.76,7.64
87.84,0.76,1012.96,1.2,9.67
82.64,0.84,1015.98,1.45,8.94
83.72,0.81,1015,2.03,8.38
84.07,0.72,1013.93,4.65,7.42
88.73,0.67,1016.29,3.22,6.88
89.28,0.72,1018.88,2.39,6.48
91.05,0.75,1017.2,3.53,6.74
86.51,0.76,1012.47,2.77,7.19
82.69,0.75,1013.7,3.57,7.5
78.6,0.82,1018.61,4.29,7.69
79.47,0.88,1014.78,4.23,6.82
82.99,0.76,1010.15,3.32,6.74
79.3,0.59,1017.61,5.25,7.61
82.78,0.62,1022.97,1.56,6.97
80.66,0.68,1024.17,1.35,7.02
86.37,0.71,1021.25,3.75,7.09
90.6,0.76,1019.5,1.33,6.24
92.75,0.73,1018.85,2.05,5.91
93,0.72,1017.2,2.96,6.58
89.41,0.67,1017.82,1.17,7.17
85.75,0.78,1020.49,2.11,6.67
82.97,0.84,1023.47,2.96,6.38
88.79,0.79,1023.58,1.17,6.81
91.57,0.76,1023.89,1.81,6.84
91.14,0.76,1023.81,0.14,6.43
91.95,0.72,1023.04,1.63,6.6
92.35,0.7,1020.93,2.05,6.53
87.94,0.77,1019.38,2.19,6.63
73.68,0.91,1017.93,4.29,6.36
64.94,0.91,1018.01,6.87,5.26
73.53,0.9,1017.52,4.89,5.8
74.77,0.93,1019.26,2.49,4.7
82.96,0.87,1022.01,1.5,5.81
79.14,0.89,1022.07,4.61,7.17
77.35,0.89,1020.69,6.32,6.66
79.88,0.84,1021.09,5.01,6.93
85.19,0.74,1013.39,3.73,6.73
76.46,0.84,1021.3,5.28,6.91
76.63,0.75,1019.66,2.09,6.73
63.43,0.91,1022.86,3.15,5.12
79.21,0.91,1023.1,1.85,5.92
85.36,0.84,1015.76,3.44,6.84
66.08,0.83,1018.86,3.42,6.55
73.97,0.81,1018.22,2.78,6.96
77.67,0.73,1023.14,2.26,6.76
75.92,0.73,1026.57,0.88,6.57
81.33,0.79,1025.33,3.44,6.63
82.89,0.78,1020.86,4.8,7.44
83.96,0.75,1017.83,1.12,7.03
87.52,0.78,1016.29,1.45,6.24
73.75,0.87,1022.07,1.48,6.22
53.36,0.55,1022.22,0.48,7.63
43.52,0.88,1026.64,1.56,3.64
44.67,0.93,1010.19,0.48,3.27
54.54,0.67,1003.94,2.8,5.13
35.09,0.54,1015.03,0.81,7.5
35.09,0.54,1015.03,0.81,7.5
31.4,0.6,1019.62,2.57,7.14
23.72,0.59,1025.35,3.68,6.44
22.38,0.47,1033.75,4.68,7.48
26.16,0.52,1040.28,1.24,7.51
35.48,0.52,1032.01,2.56,7.29
56.41,0.72,1025.09,1.96,7.27
70.72,0.72,1020.24,5.01,7.45
54.97,0.56,1031.13,2.64,7.46
36.35,0.75,1034.55,0.66,6.64
45.33,0.68,1028.66,0.83,6.29
44.45,0.66,1029.99,0.74,7.2
49.12,0.9,1019.61,0.6,4.18
56.31,0.76,1014.5,2.7,5.17
56.31,0.76,1014.5,2.7,5.17
51.32,0.72,1017.98,0.87,7.61
47.11,0.88,1013.99,0.54,6.47
49.18,0.93,1011.54,0.5,3.14
50.43,0.94,1004.84,1.18,3.31
45.35,0.91,998.81,5.51,3.61
46.58,0.8,1000.04,4.87,6.8
60.69,0.6,1005.81,1.27,7.51
57.25,0.58,1001.37,3.63,7.31
41.97,0.48,1009.76,4.74,7.42
47.13,0.49,1008.64,1.99,7.6
43.78,0.59,1007.93,1.16,7.57
35.79,0.67,1012.06,2.46,6.55
53.8,0.54,1011.32,1.52,7.55
49.19,0.63,1015.93,0.51,7.59
48.05,0.54,1020.8,2.02,7.8
37.12,0.41,1024.52,2.49,7.47
39.07,0.4,1029.82,1.95,7.32
51.85,0.45,1017.78,1.95,7.28
61.11,0.58,1018.7,0.85,7.41
72.19,0.56,1008.5,3.63,7.57
69.79,0.59,1003.56,1.02,7.4
35.6,0.63,1009.05,5.73,7.15
36.22,0.42,1025.93,2.59,7.5
52.42,0.5,1015.12,0.94,7.6
50.22,0.73,1010.15,0.86,7.05
44.39,0.47,1016.16,6.3,7.7
45.8,0.64,1013.78,1.09,7.57
50.61,0.58,1001.6,2.87,8.02
38.19,0.49,1008.75,4.94,7.47
52.14,0.52,1013.75,0.36,7.97
71.07,0.5,1010.34,0.84,7.74
71.07,0.5,1010.34,0.84,7.74
69.68,0.51,1012.45,2.54,7.09
65.36,0.53,1022.36,1.49,7.32
56.13,0.5,1024.8,1.59,7.48
64.16,0.7,1015.55,0.86,7.43
76.36,0.7,1011.65,1.63,6.96
75.65,0.7,1011.41,2.33,7.32
74.3,0.71,1004.35,1.79,7.37
47.6,0.46,1019.69,3.39,7.79
53.98,0.57,1028.96,1.01,7.69
66.93,0.66,1023.67,0.72,7.11
75.8,0.76,1006.88,4.36,6.62
48.97,0.43,1014.08,6.49,7.45
48.97,0.43,1014.08,6.49,7.45
40.1,0.51,1027.74,4.18,7.35
41.56,0.43,1035.46,2.67,7.63
40.21,0.34,1037.79,0.73,7.65
54.15,0.53,1031.34,1.04,7.33
68.65,0.71,1022.94,2.13,7.16
68.65,0.71,1022.94,2.13,7.16
66.11,0.41,1017.98,3.67,7.12
71.8,0.27,1017.38,2.34,7.52
45.63,0.53,1013.75,3.72,6.85
37.58,0.4,1025.07,4.21,7.09
40.27,0.4,1028.81,2.44,7.08
43.14,0.56,1028.96,1.72,6.55
37.8,0.77,1005.85,4.86,4.8
31.45,0.48,1012.71,7.13,7.22
40.12,0.45,1021.6,4.2,7.22
49.17,0.51,1026.24,0.97,7.51
56.71,0.76,1018.39,1.32,7.03
50.56,0.76,1021.93,3.26,6.48
52.69,0.59,1021.14,1.37,7.46
61.89,0.6,1014.72,1.15,7.57
46.92,0.37,1022.19,4.44,7.43
46.92,0.37,1022.19,4.44,7.43
48.08,0.34,1035.34,0.39,7.87
61.58,0.57,1028.35,3.13,7.17
79.24,0.56,1021.59,0.97,7.17
48.23,0.82,1025.34,3.44,6.26
74.36,0.81,1017.42,0.56,4.55
71.08,0.8,1011.28,1.06,6.84
65.45,0.6,1018.57,2.45,7.27
53.05,0.55,1021.92,1.9,7.39
50.02,0.88,1009.15,0.76,5.38
57.6,0.75,1011.96,3.8,6.95
64.53,0.53,1021.8,2.04,7.65
66.96,0.63,1015.61,2.44,7.25
80,0.65,1002.93,2.98,7.32
73.49,0.5,1010.89,0.09,7.47
57.76,0.81,998.12,0.2,6.15
47.82,0.54,1002.24,6,7.24
63.28,0.39,1014.79,3.13,8.04
72.89,0.42,1021.04,1.01,7.64
82.69,0.44,1021.4,2.13,7.35
86.88,0.45,1020.3,1.5,7.22
77.83,0.53,1022.06,1.59,7.45
69.77,0.42,1027.64,1.13,7.48
71.29,0.5,1027.58,0.94,7.99
76.7,0.64,1024.85,1.15,6.69
87.06,0.56,1016.34,2.49,6.55
70.2,0.68,1016.63,0.89,7.05
71.95,0.51,1026.05,1.24,7.77
61.48,0.73,1028.17,1.56,7.13
82,0.74,1017.99,1.11,7.06
79.85,0.82,1011.18,0.51,5.74
59.81,0.9,1013.56,1.2,5.07
60.12,0.74,1019.21,0.83,7.28
56.11,0.82,1017.71,1.83,7.03
59.14,0.92,1009.87,3.2,4.97
69.6,0.85,1007.87,0.88,6.59
82.35,0.76,1009.71,1.59,6.13
84.48,0.64,1015.11,0.83,7.31
90.46,0.7,1017.48,1.22,7.19
84.57,0.74,1017.97,0.81,6.88
81.55,0.75,1011.03,2.99,6.99
64.24,0.5,1016.23,2.75,7.56
65.5,0.64,1020.36,2.29,7.67
72.33,0.89,1001.11,2.5,6.41
57.19,0.84,996.78,1.86,7.07
61.97,0.62,1007.1,2.68,7.23
62.88,0.48,1014.17,2.07,7.57
65.78,0.5,1015.5,0.48,8.33
74.42,0.57,1015.24,0.17,8.36
57.06,0.84,1014.04,1.23,5.13
57.47,0.87,1016.03,1.15,6.84
57.1,0.87,1010.28,1.74,6.22
78.63,0.62,1007.54,2.23,7.46
75.18,0.42,1012.45,3.24,7.64
81.36,0.52,1017.53,0.63,7.91
92.93,0.59,1015.86,1.01,7.34
91.24,0.59,1015.04,1.87,7.42
91.2,0.69,1014.63,1.02,6.95
69.61,0.75,1021.56,1.59,7.17
66.94,0.6,1025.22,1.2,7.49
70.35,0.86,1017.64,0.37,6.56
65.65,0.85,1012.52,0.78,6.17
64.37,0.85,1006.71,1.35,6.8
73.75,0.87,999.53,0.58,5.86
74.94,0.74,1006.92,2.26,7.52
71.42,0.79,1012.79,0.29,7.61
73.76,0.86,1011.46,0.78,6.66
68.91,0.9,1017.78,1.33,6.17
81.6,0.79,1016.21,0.43,5.91
82.22,0.62,1015.52,1.34,7.43
80.23,0.54,1016.07,1.61,8.16
82.31,0.57,1016.06,0.64,7.48
86.83,0.64,1013.87,1.41,7.18
73.76,0.82,1007.17,0.69,7.15
75.61,0.66,1007.16,1.92,6.73
65.35,0.77,1014.37,1.29,7.21
73.82,0.67,1014.34,0.77,7.41
81.43,0.6,1010.95,1.38,7.57
87.57,0.58,1016.52,0.83,7.19
92.04,0.58,1018.96,0.85,7.26
92.35,0.61,1017.83,0.71,7.14
94.36,0.63,1014.66,0.72,6.95
88.38,0.65,1013.84,0.61,7.29
84.14,0.67,1014.91,1.3,7.29
81.56,0.79,1012.86,0.43,7.19
85.52,0.82,1012.07,1.23,6.59
89.79,0.74,1010.72,2.94,7.53
87.45,0.77,1010.88,2.98,7.25
86.01,0.68,1014.85,1.67,7.41
87.93,0.66,1014.84,1.3,7.42
86.76,0.71,1015.37,0.72,7.56
86.43,0.78,1009.57,2.79,7.26
85.77,0.65,1009.17,2.13,7.51
84.78,0.56,1015.86,1.45,7.53
81.36,0.48,1017.45,0.99,8.18
78.96,0.52,1016.25,1.16,7.52
80.85,0.55,1021.1,0.48,7.44
88.77,0.59,1019.79,2.33,7.4
91.1,0.59,1016.59,2.7,7.49
90.54,0.76,1013.66,1.81,7.51
90.7,0.7,1016.05,0.54,7.18
90.71,0.7,1016.88,0.23,7.39
83.6,0.82,1019.55,0.99,6.17
77.59,0.91,1016.73,0.89,5.63
88.57,0.77,1010.17,1.08,6.71
87.37,0.66,1010.42,1.63,7.6
83.67,0.59,1017.05,1.07,7.74
88.91,0.67,1016.86,1.14,7.61
90.27,0.69,1015,1.23,7.54
91.4,0.68,1017.15,0.87,7.49
93.63,0.68,1016.77,0.94,7.18
93.42,0.77,1015.66,0.56,7.1
87.43,0.7,1014.34,1.44,7.56
87.13,0.66,1015.29,0.31,7.76
88.43,0.74,1016.04,1.12,7.04
90.18,0.76,1018.06,0.91,7.02
93.59,0.7,1017.51,0.5,7.34
94.7,0.67,1015.17,0.77,7.37
93.71,0.65,1013.28,0.42,7.39
92.27,0.78,1011.18,0.68,7.02
92.27,0.78,1011.18,0.68,7.02
86.18,0.86,1008.6,0.43,6.48
89.15,0.77,1009.05,0.68,7.98
79.03,0.67,1018.2,1.6,7.7
83.68,0.73,1021.45,0.41,7.68
85.23,0.79,1015.01,1.11,7.32
77.57,0.91,1008.74,0.43,5.55
73.36,0.82,1007.71,2.33,6.76
82.04,0.61,1016.4,1.06,7.37
87.23,0.68,1018.75,0.25,7.73
88.98,0.71,1017.86,0.2,7.49
89.15,0.72,1017.56,0.68,7.37
87.67,0.79,1018.43,0.38,7.28
88.97,0.75,1014.89,1.64,7.27
79.1,0.64,1014.4,2.23,7.8
80.35,0.69,1019.48,0.12,7.63
72.18,0.89,1015.39,0.4,6.01
78.93,0.8,1016.01,0.89,6.85
83.69,0.67,1022.51,0.06,7.28
82.81,0.7,1023.28,0.45,7.57
81.18,0.79,1019.25,0.94,6.84
83.47,0.87,1013.28,0.43,6.46
83.18,0.76,1015.06,0.77,7.35
77.39,0.84,1015.98,0.28,6.86
78.82,0.9,1012.74,0.11,5.75
88.5,0.79,1015.28,0.39,5.37
86.94,0.82,1015.52,0.87,6.44
91.48,0.83,1010.72,1.26,6.92
88.54,0.73,1012.28,0.77,7.57
86.17,0.69,1019.07,0.43,7.39
89.04,0.8,1021.52,0.98,7.39
91.87,0.75,1014.95,2.07,7.05
82.97,0.7,1011.03,0.91,7.45
80.59,0.65,1014.51,0.44,7.56
78.16,0.74,1019.76,0.71,7.54
78.73,0.71,1023.53,0.6,7.75
77.03,0.7,1023.53,0.81,7.72
76.19,0.71,1023.02,1.49,7.74
66.5,0.89,1018.37,1.4,6.15
77.36,0.78,1016.39,0.56,7.29
82.99,0.75,1015.15,0.76,7.56
64.5,0.68,1020.39,1.28,7.35
61.69,0.9,1019.48,1.13,5.9
77.39,0.79,1014.99,1.09,6.21
82.15,0.72,1015.37,1.41,7.24
86.28,0.76,1009.96,1.39,7.27
65.85,0.92,1011.6,0.65,5.67
71.82,0.75,1015.35,1.49,6.55
73.74,0.71,1021.27,0.73,7.86
70.33,0.7,1025.74,1.09,8.15
71.79,0.71,1028.45,0.92,7.43
73.02,0.73,1025.26,0.49,8.01
76.35,0.72,1017.07,0.39,7.99
78.44,0.86,1012.42,0.22,6.34
80.09,0.79,1012.54,0.66,7.57
80.72,0.77,1017.71,0.4,7.55
81.17,0.8,1014.7,1.64,7.4
85.04,0.74,1016.86,0.56,7.61
80.95,0.78,1017.09,0.58,7.3
85.9,0.7,1018,0.59,7.19
88.36,0.74,1016.76,0.42,7.12
83.43,0.78,1015.35,1.03,7.35
88.23,0.75,1010.88,1.47,7.79
78.42,0.6,1011.14,2.56,7.56
72.31,0.63,1018.44,0.6,7.84
66.01,0.6,1023.25,3.36,8.15
68.46,0.68,1028.21,0.47,7.58
73.51,0.72,1029.47,0.21,7.55
73.28,0.73,1034.22,0.64,7.73
76.57,0.76,1029.9,0.86,7.35
81.46,0.71,1022.12,0.76,7.11
82.52,0.74,1019.17,0.38,7.55
83.04,0.76,1017.99,1.8,7.13
81.11,0.86,1014.84,1.89,7.63
84.05,0.87,1012.73,2.31,6.87
84.11,0.81,1017.97,0.17,6.96
73.47,0.89,1017.36,1.16,6.27
64.48,0.89,1022.85,2.25,6.63
64.05,0.85,1027.12,1.19,6.61
69.61,0.88,1023.92,0.36,6.76
77.04,0.86,1016.77,1.58,5.91
63.55,0.67,1018.07,2.39,7.27
61.9,0.64,1027,0.45,7.92
70.18,0.69,1027.7,0.42,7.7
72.69,0.71,1023.91,0.66,7.16
74.36,0.66,1022.96,0.83,7.89
75.96,0.66,1026.85,0.18,8.01
75.25,0.72,1027.79,0.58,7.48
74.85,0.83,1019.86,1.89,6.13
71.37,0.79,1008.02,2.05,7.19
63.46,0.58,1008.55,1.19,7.53
59.29,0.61,1011.75,2.17,7.45
67.07,0.69,1018.05,0.91,7.75
69.99,0.69,1013.96,1.91,7.36
65.45,0.91,999.56,0.73,6.63
57.66,0.64,1004.62,3.83,7.41
60.3,0.64,1019.16,0.82,7.78
60.3,0.76,1023.97,0.44,7.6
75.1,0.79,1023.06,0.91,7.48
77.19,0.77,1019.27,0.43,7.12
58.18,0.74,1025.23,0.97,6.91
59.7,0.93,1021.45,0.53,4.37
71.21,0.83,1015.81,1.1,7.33
46.14,0.82,1021.27,1.62,5.73
47.61,0.83,1023.67,1.43,7.31
54.42,0.86,1020.48,0.48,6.16
43.19,0.6,1025.85,2.57,6.78
38.47,0.5,1035.55,0.43,7.53
46.58,0.66,1031.02,0.28,7.35
50.2,0.83,1027.08,0.82,6.48
49.39,0.72,1027.21,1.05,6.45
53.12,0.73,1022.63,0.34,7.65
60.9,0.62,1015.17,2.23,7.34
52.48,0.58,1021.39,1.79,7.78
58.45,0.66,1008.7,2.74,7.55
50.83,0.59,1004.9,4.73,7.29
51.06,0.48,1021.02,2.48,7.43
60.78,0.56,1019.41,2.31,7.39
56.39,0.61,1017.01,2.86,7.34
44.5,0.64,1020.6,0.73,7.83
53.91,0.64,1017.13,0.73,7.48
61.09,0.63,1009.81,0.52,7.24
52.98,0.53,1016.73,1.95,7.44
59.65,0.53,1021.04,1.16,7.82
62.18,0.62,1026.51,1.12,7.82
67.04,0.58,1022.95,0.86,7.73
57.96,0.66,1022.31,0.56,7.85
54.58,0.7,1022.67,1.13,7.66
51.74,0.77,1024.72,0.28,7.85
55.66,0.75,1023.23,0.42,6.63
54.52,0.75,1028.43,0.71,6.16
59.04,0.86,1019.59,1.64,5.94
45.9,0.49,1017.53,2.44,7.4
47.86,0.5,1018.55,1.5,7.75
40.05,0.57,1018.55,0.31,7.35
35.74,0.83,1012.23,0.64,4.5
39.37,0.71,1016.48,1.53,7.1
47.67,0.63,1016.81,0.83,7.53
46.37,0.61,1004.14,2.6,7.36
33.34,0.41,1008.46,4.02,7.42
40.62,0.49,1009.56,1.96,7.62
29.94,0.66,1017.55,0.33,6.55
46.22,0.64,1020.22,1.76,7.46
50.59,0.67,1023.54,0.2,7.69
56.5,0.68,1018.43,0.44,7.7
59.83,0.65,1014.1,0.98,7.75
50.39,0.52,1014.79,1.7,7.67
45.05,0.6,1022.85,0.21,8.05
53.41,0.67,1021.83,0.92,7.77
62.8,0.83,1011.88,1.91,7.11
42.49,0.74,1019.38,1,7.03
35.1,0.53,1019.13,4.61,7.14
36.4,0.43,1031.18,1.91,7.8
29.57,0.52,1033.39,2.15,7.66
23.01,0.49,1036.78,2.44,7.69
29.79,0.53,1027.9,0.65,7.72
31.49,0.68,1019.85,0.87,6.78
21.25,0.53,1028.05,3.24,7.61
