"","X","url","id","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"38",38,"https://bj.lianjia.com/chengjiao/101088853537.html","101088853537",116.257104,39.873962,1111027380345,"2016-08-21",573,62,140,25455,55,1,"0",1,1,"low 9",3,2011,4,6,0.098,1,0,1,2,70205
"39",39,"https://bj.lianjia.com/chengjiao/101088861935.html","101088861935",116.567579,40.076173,1111027378340,"2016-08-30",580,114,340,24029,141.5,3,"2",1,2,"mid 12",3,2004,4,2,0.25,1,1,0,13,39895
"40",40,"https://bj.lianjia.com/chengjiao/101088891732.html","101088891732",116.493655,39.905367,1111027375357,"2016-08-26",569,212,540,58888,91.7,2,"2",1,1,"low 27",1,2006,4,6,0.429,1,1,1,7,65499
"41",41,"https://bj.lianjia.com/chengjiao/101088892021.html","101088892021",116.297022,39.788637,1111027376394,"2016-06-25",507,52,110,27195,40.45,1,"1",1,1,"low 7",4,2002,3,2,0.5,0,1,0,4,44170
"42",42,"https://bj.lianjia.com/chengjiao/101088892742.html","101088892742",116.232365,40.235529,1111027380837,"2016-08-03",546,6,170,22078,77,2,"1",1,1,"low 6",4,NA,1,2,0.333,0,1,0,6,35347
"43",43,"https://bj.lianjia.com/chengjiao/101088952846.html","101088952846",116.4388,40.054941,1111027375158,"2016-07-28",516,76,340,64151,53,1,"1",1,1,"mid 17",3,2011,4,6,0.174,1,0,1,7,77695
"44",44,"https://bj.lianjia.com/chengjiao/101088955000.html","101088955000",116.190634,39.768886,1111054088145,"2016-08-05",524,77,245,30625,80,2,"1",1,1,"low 9",4,2012,4,6,0.5,1,0,1,5,44647
"45",45,"https://bj.lianjia.com/chengjiao/101088957270.html","101088957270",116.330345,39.984336,1111027373798,"2016-08-14",533,114,610,103566,58.9,2,"1",1,1,"mid 6",4,1989,4,2,0.333,0,0,1,8,114107
"46",46,"https://bj.lianjia.com/chengjiao/101088978810.html","101088978810",116.254212,40.216336,1111027377222,"2016-07-22",507,27,224.5,19026,118,2,"2",1,2,"low 6",4,1998,3,2,0.5,0,1,0,6,38062
"47",47,"https://bj.lianjia.com/chengjiao/101089021124.html","101089021124",116.60292,39.909042,1111041802183,"2016-08-30",540,94,435,49505,87.87,2,"1",1,1,"low 18",3,2011,1,6,0.667,1,0,0,7,54019
"48",48,"https://bj.lianjia.com/chengjiao/101089027493.html","101089027493",116.324898,39.891441,1111027379964,"2016-09-05",544,47,410,53178,77.1,3,"1",1,1,"mid 24",1,1991,3,6,0.25,1,1,1,2,62231
"49",49,"https://bj.lianjia.com/chengjiao/101089054456.html","101089054456",116.232119,40.223852,1111027377917,"2016-09-04",539,41,240,28784,83.38,1,"1",1,1,"mid 15",1,2009,3,6,0.143,1,0,1,6,41887
"50",50,"https://bj.lianjia.com/chengjiao/101089054589.html","101089054589",116.683117,40.127185,1111027381881,"2016-08-26",530,61,470,32879,142.95,3,"2",1,2,"bottom 5",4,2004,4,2,0.5,1,1,0,13,37937
"51",51,"https://bj.lianjia.com/chengjiao/101089103671.html","101089103671",116.45831,39.923422,1111027379317,"2016-08-24",520,67,355,57677,61.55,1,"0",1,1,"mid 29",1,2008,4,6,0.231,1,1,1,7,75090
"52",52,"https://bj.lianjia.com/chengjiao/101089110617.html","101089110617",116.422479,40.06389,1111027375783,"2016-07-31",494,59,190,31240,60.82,1,"1",1,1,"low 19",1,2004,3,6,0.15,1,1,1,6,43211
"53",53,"https://bj.lianjia.com/chengjiao/101089111776.html","101089111776",116.254212,40.216336,1111027377222,"2016-08-31",526,41,321,20523,156.41,3,"1",1,2,"low 5",4,2001,4,6,0.25,0,0,0,6,38062
"54",54,"https://bj.lianjia.com/chengjiao/101089111787.html","101089111787",116.318694,40.087485,1111027375875,"2016-07-04",467,65,350,27853,125.66,3,"1",1,2,"mid 9",4,2008,3,6,0.5,1,1,0,6,36774
"55",55,"https://bj.lianjia.com/chengjiao/101089141634.html","101089141634",116.164506,39.731851,1111027382276,"2016-08-12",503,64,198,20625,96,3,"1",1,1,"high 6",4,2004,3,2,0.5,0,1,1,5,32095
"56",56,"https://bj.lianjia.com/chengjiao/101089143804.html","101089143804",116.665923,40.186753,1111027381403,"2016-08-31",523,51,500,44147,113.26,3,"2",1,2,"bottom 11",4,2012,4,6,0.333,1,0,0,13,43947
"57",57,"https://bj.lianjia.com/chengjiao/101089159752.html","101089159752",116.314388,39.972347,1111027382572,"2016-08-19",508,18,655,43149,151.8,2,"1",1,1,"low 22",1,1998,3,6,0.286,1,1,1,8,75591
"58",58,"https://bj.lianjia.com/chengjiao/101089172903.html","101089172903",116.378537,39.879671,1111027378981,"2016-12-09",618,79,1135,61968,183.16,4,"1",1,2,"low 18",3,2003,1,6,0.286,1,0,1,10,93400
"59",59,"https://bj.lianjia.com/chengjiao/101089178771.html","101089178771",116.284755,39.93453,1111027376911,"2017-03-22",721,117,280,67470,41.5,1,"0",1,1,"low 19",1,2009,4,6,0.111,1,0,1,8,70141
"60",60,"https://bj.lianjia.com/chengjiao/101089182209.html","101089182209",116.413046,40.056407,1111027376788,"2016-07-15",470,110,346,34992,98.88,4,"1",1,2,"low 5",4,1998,3,4,0.5,0,1,0,6,47772
"61",61,"https://bj.lianjia.com/chengjiao/101089194921.html","101089194921",116.559275,40.113935,1111027379645,"2017-01-22",659,81,530,26100,203.07,6,"2",1,2,"high 6",4,1998,4,6,0.5,0,1,0,13,42336
"62",62,"https://bj.lianjia.com/chengjiao/101089200824.html","101089200824",116.474383,39.902184,1111027375650,"2016-06-29",451,43,406,63577,63.86,1,"1",1,1,"low 16",3,2007,4,6,0.25,1,0,1,7,91192
"63",63,"https://bj.lianjia.com/chengjiao/101089201040.html","101089201040",116.384103,39.972885,1111027378248,"2016-08-15",498,213,642,89665,71.6,2,"1",1,1,"high 13",3,1993,1,2,0.222,1,0,0,10,129541
"64",64,"https://bj.lianjia.com/chengjiao/101089205931.html","101089205931",116.497474,39.810115,1111027377957,"2016-07-07",459,266,165,29741,55.48,1,"1",1,1,"high 24",1,2009,4,6,0.25,1,0,1,3,54282
"65",65,"https://bj.lianjia.com/chengjiao/101089228515.html","101089228515",116.403304,39.891691,1111027379974,"2016-08-31",511,176,400,66879,59.81,1,"1",1,1,"high 9",3,2002,4,6,0.167,1,1,1,10,73910
"66",66,"https://bj.lianjia.com/chengjiao/101089261829.html","101089261829",116.386555,40.0865,1111027382546,"2016-07-28",474,83,200,41667,48,1,"0",1,1,"high 9",4,2009,4,6,0.333,1,1,0,6,47574
"67",67,"https://bj.lianjia.com/chengjiao/101089263686.html","101089263686",116.364028,39.870465,1111027381871,"2016-06-27",442,93,200,48310,41.4,1,"1",1,1,"low 6",4,1990,3,2,0.333,0,0,0,2,62103
"68",68,"https://bj.lianjia.com/chengjiao/101089274066.html","101089274066",116.461949,40.003018,1111027381856,"2016-06-24",438,64,845,43772,193.05,4,"2",1,3,"high 17",3,2003,4,6,0.5,1,1,1,7,60653
"69",69,"https://bj.lianjia.com/chengjiao/101089277356.html","101089277356",116.483319,39.915337,1111027374586,"2016-07-23",466,82,300,43809,68.48,3,"1",1,1,"mid 14",1,1994,4,6,0.143,1,1,1,7,76001
"70",70,"https://bj.lianjia.com/chengjiao/101089285872.html","101089285872",116.516087,39.923147,1111027380011,"2016-07-27",469,35,225,40910,55,1,"0",1,1,"high 9",1,2005,4,6,0.25,1,1,0,7,60134
"71",71,"https://bj.lianjia.com/chengjiao/101089299536.html","101089299536",116.555729,40.162058,1111027379605,"2016-08-10",481,18,395,44887,88,3,"4",1,3,"bottom 6",4,2009,3,4,0.5,0,0,0,13,44235
"72",72,"https://bj.lianjia.com/chengjiao/101089301967.html","101089301967",116.444356,39.932936,1111027377769,"2016-12-29",622,110,392.5,83582,46.96,1,"0",1,1,"mid 17",1,2003,4,6,0.4,1,0,1,7,83273
"73",73,"https://bj.lianjia.com/chengjiao/101089305679.html","101089305679",116.517555,39.872965,1111027374372,"2016-07-17",456,80,200,33406,59.87,2,"1",1,1,"low 6",4,1984,4,2,0.333,0,1,0,7,46571
"74",74,"https://bj.lianjia.com/chengjiao/101089310257.html","101089310257",116.472165,39.903144,1111041163563,"2016-08-13",482,195,300,50092,59.89,2,"1",1,1,"bottom 6",4,1992,4,2,0.333,0,0,1,7,60994
"75",75,"https://bj.lianjia.com/chengjiao/101089311219.html","101089311219",116.471754,40.02946,1111027376127,"2016-09-12",513,93,510,75333,67.7,1,"2",1,1,"mid 28",1,2009,3,6,0.333,1,1,1,7,76292
"76",76,"https://bj.lianjia.com/chengjiao/101089313287.html","101089313287",116.249496,40.221791,1111027378945,"2016-08-08",477,70,102,24286,42,1,"1",1,1,"low 6",4,1989,3,2,0.333,0,1,1,6,37612
"77",77,"https://bj.lianjia.com/chengjiao/101089314023.html","101089314023",116.309431,39.842691,1111027381704,"2016-07-06",444,30,288,41728,69.02,1,"1",1,1,"low 26",1,2006,3,6,0.3,1,0,1,2,58879
"78",78,"https://bj.lianjia.com/chengjiao/101089317588.html","101089317588",116.330357,39.692063,1111041787770,"2016-09-07",506,48,468,22076,212,4,"2",1,1,"bottom 15",4,2014,2,6,0.5,1,0,1,4,43597
"79",79,"https://bj.lianjia.com/chengjiao/101089326506.html","101089326506",116.43164,39.904426,1111027374689,"2016-07-30",466,88,450,59761,75.3,2,"1",1,1,"high 16",3,2006,2,6,0.25,1,0,1,1,86302
"80",80,"https://bj.lianjia.com/chengjiao/101089340814.html","101089340814",116.400717,40.088094,1111046342655,"2016-08-08",472,12,873,35289,247.39,4,"2",1,3,"bottom 2",NA,2000,4,4,1,0,0,0,6,45306
"81",81,"https://bj.lianjia.com/chengjiao/101089346705.html","101089346705",116.4388,40.054941,1111027375158,"2016-07-21",454,61,475,70381,67.49,2,"1",1,2,"mid 17",3,2012,4,6,0.174,1,0,1,7,77695
"82",82,"https://bj.lianjia.com/chengjiao/101089355491.html","101089355491",116.457699,39.944441,1111041750759,"2016-06-20",421,65,240,40000,60,1,"0",1,1,"mid 5",3,2010,4,6,0.128,1,0,1,7,79727
"83",83,"https://bj.lianjia.com/chengjiao/101089360053.html","101089360053",116.249496,40.221791,1111027378945,"2016-07-26",457,4,360,24507,146.9,3,"2",1,2,"low 7",4,NA,4,2,0.5,0,1,0,6,37612
"84",84,"https://bj.lianjia.com/chengjiao/101089374928.html","101089374928",116.425063,40.044097,1111027378336,"2016-12-18",598,162,202,39608,51,1,"1",1,1,"mid 13",3,2011,3,6,0.182,1,1,1,7,52870
"85",85,"https://bj.lianjia.com/chengjiao/101089379130.html","101089379130",116.334817,39.884391,1111027373881,"2016-07-03",430,136,240,70589,34,1,"1",1,2,"low 18",4,2009,4,6,0.222,1,0,0,10,53521
"86",86,"https://bj.lianjia.com/chengjiao/101089385519.html","101089385519",116.22946,40.228274,1111027377289,"2016-09-21",509,33,265,30566,86.7,2,"1",1,1,"high 6",4,1996,4,4,0.333,0,0,1,6,34346
"87",87,"https://bj.lianjia.com/chengjiao/101089392872.html","101089392872",116.509143,39.925387,1111027375038,"2016-07-19",443,44,355,40909,86.78,2,"2",1,1,"low 33",1,2011,3,6,0.3,1,0,1,7,56336
"88",88,"https://bj.lianjia.com/chengjiao/101089394353.html","101089394353",116.474014,39.913424,1111027377133,"2016-10-29",545,62,389,63771,61,2,"1",1,1,"bottom 14",3,1985,3,6,0.125,1,0,1,7,66280
"89",89,"https://bj.lianjia.com/chengjiao/101089395900.html","101089395900",116.606151,40.051276,1111027378571,"2017-01-22",629,172,300,29127,103,3,"1",1,1,"low 6",4,1998,4,2,0.5,0,1,0,7,38468
"90",90,"https://bj.lianjia.com/chengjiao/101089402286.html","101089402286",116.399693,39.972072,1111027374642,"2016-09-11",495,92,509,67678,75.21,2,"1",1,1,"high 16",4,1992,4,6,0.158,1,1,1,7,71985
"91",91,"https://bj.lianjia.com/chengjiao/101089403910.html","101089403910",116.560389,40.094933,1111027378136,"2016-09-04",487,78,340,25000,136,3,"2",1,2,"low 6",4,2000,3,2,0.5,0,1,1,13,45162
"92",92,"https://bj.lianjia.com/chengjiao/101089414178.html","101089414178",116.368804,39.873549,1111027381851,"2016-07-13",433,39,307,51167,60,2,"1",1,1,"mid 6",4,1989,3,2,0.5,0,0,0,2,60129
"93",93,"https://bj.lianjia.com/chengjiao/101089420888.html","101089420888",116.154608,39.726495,1111027379063,"2016-07-27",446,15,199.5,22167,90,2,"1",1,1,"high 15",4,2010,2,6,0.25,1,0,0,5,35310
"94",94,"https://bj.lianjia.com/chengjiao/101089421723.html","101089421723",116.679737,40.219508,1111046920919,"2016-10-09",519,13,798,26600,300,4,"2",1,2,"bottom 4",NA,2013,1,6,0.5,1,0,0,13,27425
"95",95,"https://bj.lianjia.com/chengjiao/101089423790.html","101089423790",116.16608,39.771077,1111027377578,"2016-09-30",511,264,210.5,32377,65,1,"1",1,1,"low 11",1,2011,4,6,0.167,1,0,0,5,34373
"96",96,"https://bj.lianjia.com/chengjiao/101089425490.html","101089425490",116.372222,39.880938,1111027382001,"2016-09-15",495,34,900,56250,160,5,"2",1,2,"low 6",4,1999,1,2,0.5,0,0,1,10,93339
"97",97,"https://bj.lianjia.com/chengjiao/101089426628.html","101089426628",116.422211,40.011387,1111027377318,"2016-07-24",442,16,298,35059,85,1,"1",1,1,"low 22",3,2009,1,6,0.19,1,0,1,7,40470
"98",98,"https://bj.lianjia.com/chengjiao/101089427161.html","101089427161",116.605035,40.051164,1111027378574,"2016-09-19",499,72,230,25843,89,3,"1",1,1,"low 6",4,1992,1,4,0.5,0,0,0,7,39605
"99",99,"https://bj.lianjia.com/chengjiao/101089429949.html","101089429949",116.317831,40.039,1111027379186,"2016-09-12",492,33,1388,53799,258,5,"2",1,3,"low 6",4,1998,4,2,0.5,0,0,0,8,85111
"100",100,"https://bj.lianjia.com/chengjiao/101089437193.html","101089437193",116.259318,40.217911,1111027376568,"2016-07-08",424,14,257,23364,110,2,"1",1,1,"high 6",4,1996,1,2,0.5,0,0,0,6,36436
"101",101,"https://bj.lianjia.com/chengjiao/101089443304.html","101089443304",116.227892,39.780755,1111027380035,"2016-09-26",503,19,296,27664,107,3,"1",1,1,"high 6",4,2003,3,2,0.5,0,0,0,5,31653
"102",102,"https://bj.lianjia.com/chengjiao/101089448850.html","101089448850",116.52387,39.923283,1111027374597,"2016-07-16",430,3,470,32794,143.32,1,"0",0,0,"mid 32",1,NA,3,6,0.5,1,1,1,7,30864
"103",103,"https://bj.lianjia.com/chengjiao/101089461652.html","101089461652",116.238792,39.852889,1111027381738,"2016-07-11",423,29,208,31288,66.48,1,"1",1,1,"low 6",4,2004,1,2,0.5,0,1,0,2,43567
"104",104,"https://bj.lianjia.com/chengjiao/101089473568.html","101089473568",116.47773,40.002156,1111027380317,"2016-09-07",479,61,650,49243,132,4,"1",1,2,"low 26",1,1997,4,6,0.25,1,1,1,7,60348
"105",105,"https://bj.lianjia.com/chengjiao/101089476924.html","101089476924",116.508181,39.807662,1111027374693,"2016-08-27",468,96,127,26805,47.38,1,"1",0,1,"low 16",1,2008,3,6,0.2,1,1,1,3,28609
"106",106,"https://bj.lianjia.com/chengjiao/101089476930.html","101089476930",116.508181,39.807662,1111027374693,"2016-08-29",470,154,145,27272,53.17,1,"1",0,0,"low 16",1,2008,3,6,0.2,1,0,1,3,28609
"107",107,"https://bj.lianjia.com/chengjiao/101089477638.html","101089477638",116.437251,39.962363,1111027382523,"2016-06-28",408,132,270,51292,52.64,2,"1",1,1,"low 5",4,1979,4,2,0.333,0,1,1,7,65898
"108",108,"https://bj.lianjia.com/chengjiao/101089483523.html","101089483523",116.351677,39.980567,1111027378230,"2016-08-24",463,76,348,58000,60,1,"1",1,1,"bottom 18",1,1998,3,6,0.2,1,1,1,8,74710
"109",109,"https://bj.lianjia.com/chengjiao/101089484653.html","101089484653",116.364028,39.870465,1111027381871,"2016-07-11",420,130,248,45091,55,2,"1",1,1,"low 6",4,1990,4,2,0.5,0,1,0,2,62103
"110",110,"https://bj.lianjia.com/chengjiao/101089513302.html","101089513302",116.471203,39.876684,1111027375050,"2016-09-05",471,128,475,34971,135.83,3,"1",1,2,"low 22",1,1998,3,6,0.25,1,1,1,7,54180
"111",111,"https://bj.lianjia.com/chengjiao/101089520667.html","101089520667",116.164506,39.731851,1111027382276,"2016-08-23",457,129,188,21600,87.04,2,"1",1,1,"mid 6",4,2004,3,2,0.5,0,1,1,5,32095
"112",112,"https://bj.lianjia.com/chengjiao/101089520817.html","101089520817",116.268601,39.933567,1111027377818,"2016-06-26",399,63,610,64956,93.91,2,"2",1,2,"mid 9",4,2003,4,6,0.333,1,1,0,8,91180
"113",113,"https://bj.lianjia.com/chengjiao/101089545387.html","101089545387",116.511545,39.904464,1111027378350,"2016-12-30",581,243,210,42000,50,1,"1",1,1,"low 17",1,2010,4,6,0.105,1,1,1,7,59025
"114",114,"https://bj.lianjia.com/chengjiao/101089555304.html","101089555304",116.342088,39.749733,1111027378968,"2016-06-19",385,263,220,30051,73.21,2,"1",1,1,"mid 6",4,1992,4,2,0.5,0,1,1,4,41149
"115",115,"https://bj.lianjia.com/chengjiao/101089555890.html","101089555890",116.250662,39.910338,1111027377826,"2016-07-12",409,21,283,44116,64.15,2,"1",1,1,"mid 5",4,1981,4,2,0.333,0,1,1,9,56659
"116",116,"https://bj.lianjia.com/chengjiao/101089562461.html","101089562461",116.227892,39.780755,1111027380035,"2016-08-17",443,88,210,22341,94,2,"2",1,1,"low 6",4,2005,1,2,0.5,0,1,0,5,31653
"117",117,"https://bj.lianjia.com/chengjiao/101089567635.html","101089567635",116.28592,39.935122,1111027381486,"2016-07-06",400,80,580,46512,124.7,3,"2",1,1,"low 6",4,1998,3,2,0.5,0,1,0,8,67445
"118",118,"https://bj.lianjia.com/chengjiao/101089567756.html","101089567756",116.451239,39.960643,1111027379003,"2016-07-26",420,51,677,40759,166.1,3,"1",1,1,"low 14",3,2002,3,6,0.2,1,0,0,7,58862
"119",119,"https://bj.lianjia.com/chengjiao/101089570285.html","101089570285",116.117019,39.93386,1111052073923,"2016-08-31",455,114,153,24252,63.09,2,"1",1,1,"low 6",4,1990,4,2,0.333,0,1,0,12,39381
"120",120,"https://bj.lianjia.com/chengjiao/101089570888.html","101089570888",116.456102,39.931183,1111027374717,"2016-07-07",400,24,345,56651,60.9,2,"1",1,1,"bottom 5",4,1976,3,2,0.333,0,1,1,7,74171
"121",121,"https://bj.lianjia.com/chengjiao/101089573433.html","101089573433",116.4471,39.879796,1111027382286,"2016-06-20",383,51,1120,77242,145,3,"2",1,2,"mid 17",4,2004,3,6,0.5,1,1,1,1,75950
"122",122,"https://bj.lianjia.com/chengjiao/101089574003.html","101089574003",116.122354,39.937384,1111027376723,"2016-08-01",424,80,251.5,25464,98.77,3,"1",1,1,"low 6",4,2001,3,2,0.5,0,1,0,12,36358
"123",123,"https://bj.lianjia.com/chengjiao/101089574437.html","101089574437",116.117724,39.941152,1111052110644,"2016-09-30",484,32,460,27480,167.4,4,"2",1,2,"low 6",4,2005,4,2,0.5,0,0,0,12,39492
